dt,program_title,device_name,country_code,product_type,unique_users,content_count
2018-10-01,How I Met Your Mother,ios,se,svod,28,33
2018-10-01,Blaze and the Monster Machines,ios,dk,svod,28,35
2018-10-01,South Park,pcdash,no,svod,28,42
2018-10-01,Hånd i hånd,pcdash,dk,svod,28,28
2018-10-01,Deadpool 2,samsung2014xdk,fi,tvod,28,28
2018-10-01,S.W.A.T.,pcdash,se,svod,28,35
2018-10-01,Family Guy,ps4xdk,fi,svod,28,40
2018-10-01,The Fosters,chromecast,se,svod,28,35
2018-10-01,Postman Pat: Special Delivery Service,ios,dk,svod,28,28
2018-10-01,Peppa Pig,androiddash,se,svod,28,61
2018-10-01,Deadpool 2,samsung2017xdk,dk,tvod,27,27
2018-10-01,Luksusfælden,chromecast,dk,svod,27,29
2018-10-01,Dora the Explorer,ios,dk,svod,27,31
2018-10-01,Superliga Live,atv,dk,svod,27,28
2018-10-01,South Park,ps4xdk,se,svod,27,32
2018-10-01,SpongeBob SquarePants,androiddash,fi,svod,27,37
2018-10-01,Victorious,ios,no,svod,27,30
2018-10-01,Lethal Weapon,atv,se,svod,27,30
2018-10-01,Seinfeld,androiddash,se,svod,27,38
2018-10-01,Family Guy,ps4xdk,se,svod,27,36
2018-10-01,Bones,chromecast,dk,svod,27,31
2018-10-01,Unga Mammor,pcdash,se,svod,27,31
2018-10-01,NCIS,pcdash,no,svod,27,38
2018-10-01,Empire,pcdash,se,svod,27,27
2018-10-01,Scrubs,androiddash,se,svod,27,30
2018-10-01,Familien fra Bryggen,chromecast,dk,svod,27,30
2018-10-01,The Good Doctor,atv,se,svod,27,29
2018-10-01,Unga Mammor,ios,se,svod,27,30
2018-10-01,Deadpool 2,pchls,no,tvod,26,26
2018-10-01,Futurama,pcdash,se,svod,26,47
2018-10-01,Deadpool 2,pcdash,se,est,26,26
2018-10-01,The Amazing World of Gumball,ios,dk,svod,26,36
2018-10-01,Utøya 22. juli,pcdash,no,tvod,26,26
2018-10-01,Deadpool 2,lg2016xdk,se,tvod,26,26
2018-10-01,Barclays Premier League Football Live,androiddash,fi,svod,26,26
2018-10-01,Avengers: Infinity War,chromecast,se,tvod,26,26
2018-10-01,Solo: A Star Wars Story,ps4xdk,dk,tvod,26,26
2018-10-01,Peppa Pig,androiddash,dk,svod,26,43
2018-10-01,How I Met Your Mother,chromecast,se,svod,26,39
2018-10-01,Til Middag Hos,lg2016xdk,dk,svod,26,26
2018-10-01,Coco,atv,se,svod,26,26
2018-10-01,S.W.A.T.,androiddash,se,svod,26,26
2018-10-01,The Walking Dead,atv,dk,svod,25,27
2018-10-01,Postman Pat: Special Delivery Service,chromecast,dk,svod,25,41
2018-10-01,Barclays Premier League Football Live,ios,dk,svod,25,25
2018-10-01,Scrubs,chromecast,dk,svod,25,34
2018-10-01,Forsidefruer,atv,dk,svod,25,25
2018-10-01,Forsidefruer,pchls,dk,svod,25,27
2018-10-01,Avengers: Infinity War,pcdash,dk,tvod,25,25
2018-10-01,Frasier,pcdash,fi,svod,25,38
2018-10-01,Avengers: Infinity War,chromecast,dk,tvod,25,25
2018-10-01,Deadpool 2,ps3xdk,fi,tvod,25,25
2018-10-01,Family Guy,pcdash,fi,svod,25,42
2018-10-01,The Good Doctor,androiddash,se,svod,25,25
2018-10-01,Deadpool 2,samsung2014xdk,dk,tvod,25,25
2018-10-01,Robinson Ekspeditionen,samsung2013xdk,dk,svod,24,24
2018-10-01,PAW Patrol,androiddash,dk,svod,24,30
2018-10-01,American Dad,chromecast,se,svod,24,47
2018-10-01,How I Met Your Mother,atv,se,svod,24,30
2018-10-01,Coco,androiddash,se,svod,24,24
2018-10-01,Til Middag Hos,samsung2017xdk,dk,svod,24,24
2018-10-01,Vikings,chromecast,dk,svod,24,26
2018-10-01,Peppa Pig,ios,no,svod,24,42
2018-10-01,NCIS,atv,dk,svod,24,27
2018-10-01,Solo: A Star Wars Story,chromecast,no,tvod,24,24
2018-10-01,PAW Patrol,samsung2014xdk,se,svod,24,29
2018-10-01,Deadpool 2,androidxdk,se,tvod,24,24
2018-10-01,Paradise Hotel Sverige,androidxdk,se,svod,24,25
2018-10-01,Empire,ios,se,svod,24,25
2018-10-01,Charterfeber,samsung2017xdk,no,svod,24,26
2018-10-01,Soy Luna,ios,se,svod,24,28
2018-10-01,The Fosters,pchls,no,svod,24,25
2018-10-01,How I Met Your Mother,pcdash,se,svod,23,37
2018-10-01,Deadpool 2,samsung2013xdk,fi,tvod,23,23
2018-10-01,The Walking Dead,atv,se,svod,23,24
2018-10-01,NCIS: Los Angeles,ios,se,svod,23,26
2018-10-01,The Blacklist,atv,se,svod,23,26
2018-10-01,Lethal Weapon,pcdash,no,svod,23,25
2018-10-01,Utøya 22. juli,pcdash,se,tvod,23,23
2018-10-01,Sam & Cat,ios,se,svod,23,33
2018-10-01,PAW Patrol,androiddash,no,svod,23,23
2018-10-01,The Walking Dead,chromecast,dk,svod,23,25
2018-10-01,The Haunted Hathaways,ios,se,svod,23,26
2018-10-01,SpongeBob SquarePants,ios,dk,svod,23,28
2018-10-01,Deadpool 2,androiddash,se,est,23,23
2018-10-01,Paradise Hotel Sverige,lg2016xdk,se,svod,23,23
2018-10-01,American Dad,androiddash,se,svod,23,35
2018-10-01,NCIS,androiddash,dk,svod,22,25
2018-10-01,Seinfeld,ps4xdk,se,svod,22,35
2018-10-01,Robinson Ekspeditionen,lg2015xdk,dk,svod,22,22
2018-10-01,KHL,chromecast,fi,svod,22,22
2018-10-01,Bones,pcdash,se,svod,22,27
2018-10-01,The Big Bang Theory,ios,se,svod,22,22
2018-10-01,Love Island Norge,samsung2016xdk,no,svod,22,24
2018-10-01,Lethal Weapon,atv,dk,svod,22,23
2018-10-01,The Blacklist,pcdash,no,svod,22,27
2018-10-01,Deadpool 2,samsung2013xdk,no,tvod,22,22
2018-10-01,Family Guy,chromecast,dk,svod,22,38
2018-10-01,Avengers: Infinity War,androiddash,fi,tvod,22,22
2018-10-01,The Thundermans,atv,dk,svod,22,30
2018-10-01,Teenage Mutant Ninja Turtles,ios,dk,svod,22,22
2018-10-01,The Walking Dead,pcdash,no,svod,22,26
2018-10-01,Deadpool 2,pcdash,no,est,22,22
2018-10-01,Big Time Rush,ios,no,svod,22,29
2018-10-01,The Blacklist,ios,se,svod,22,23
2018-10-01,NCIS,ios,no,svod,22,23
2018-10-01,Deadpool 2,samsung2016xdk,dk,tvod,22,22
2018-10-01,Avengers: Infinity War,ios,dk,tvod,22,22
2018-10-01,Winx Club,ios,se,svod,22,28
2018-10-01,Peppa Pig,chromecast,se,svod,22,77
2018-10-01,The Fosters,chromecast,no,svod,21,28
2018-10-01,American Dad,androiddash,fi,svod,21,31
2018-10-01,Glee,ios,dk,svod,21,24
2018-10-01,Deadpool 2,lg2017xdk,se,tvod,21,21
2018-10-01,Scrubs,pcdash,fi,svod,21,28
2018-10-01,Avengers: Infinity War,ios,se,tvod,21,21
2018-10-01,Frozen,chromecast,se,est,21,21
2018-10-01,Deadpool 2,pchls,fi,tvod,21,21
2018-10-01,S.W.A.T.,pcdash,no,svod,21,22
2018-10-01,Lethal Weapon,ios,no,svod,21,27
2018-10-01,NCIS,androiddash,se,svod,21,30
2018-10-01,"Nicky, Ricky, Dicky & Dawn",ios,se,svod,21,25
2018-10-01,Avengers: Infinity War,pcdash,no,tvod,21,21
2018-10-01,Fireman Sam,androiddash,fi,svod,21,25
2018-10-01,Charterfeber,chromecast,no,svod,21,21
2018-10-01,NHL Live,androiddash,fi,svod,21,21
2018-10-01,S.W.A.T.,chromecast,dk,svod,21,21
2018-10-01,Paradise Hotel Sverige,lg2017xdk,se,svod,21,22
2018-10-01,The Walking Dead,atv,no,svod,21,25
2018-10-01,Family Guy,pcdash,no,svod,21,35
2018-10-01,Superliga Live,chromecast,dk,svod,21,21
2018-10-01,Lethal Weapon,androiddash,dk,svod,21,23
2018-10-01,Barclays Premier League Football Live,chromecast,se,svod,21,21
2018-10-01,Utøya 22. juli,pcdash,dk,tvod,20,20
2018-10-01,The Thundermans,androiddash,se,svod,20,27
2018-10-01,Sam & Cat,ios,dk,svod,20,27
2018-10-01,Hånd i hånd,atv,dk,svod,20,20
2018-10-01,Blindspot,ios,se,svod,20,22
2018-10-01,S.W.A.T.,chromecast,se,svod,20,20
2018-10-01,Askeladden - I Dovregubbens hall,ps4xdk,no,tvod,20,20
2018-10-01,Henry Danger,ios,no,svod,20,23
2018-10-01,SpongeBob SquarePants,ios,no,svod,20,23
2018-10-01,S.W.A.T.,ios,no,svod,20,20
2018-10-01,Futurama,atv,se,svod,20,23
2018-10-01,Askeladden - I Dovregubbens hall,pcdash,dk,tvod,20,20
2018-10-01,How I Met Your Mother,pcdash,no,svod,20,33
2018-10-01,Deadpool 2,pchls,dk,tvod,20,20
2018-10-01,The Walking Dead,chromecast,se,svod,20,20
2018-10-01,Deadpool 2,chromecast,se,est,20,20
2018-10-01,Charterfeber,pchls,no,svod,20,20
2018-10-01,Futurama,pcdash,dk,svod,20,32
2018-10-01,Utøya 22. juli,ios,se,tvod,20,20
2018-10-01,Soy Luna,ios,dk,svod,20,22
2018-10-01,New Amsterdam,ios,dk,svod,20,20
2018-10-01,Deadpool 2,atv,se,tvod,20,20
2018-10-01,Empire,pcdash,dk,svod,20,21
2018-10-01,Avengers: Infinity War,ps4xdk,no,tvod,20,20
2018-10-01,Lethal Weapon,chromecast,dk,svod,20,22
2018-10-01,Coco,atv,dk,svod,20,20
2018-10-01,How I Met Your Mother,ios,dk,svod,19,23
2018-10-01,Avengers: Infinity War,pcdash,fi,tvod,19,19
2018-10-01,South Park,androiddash,se,svod,19,24
2018-10-01,Solo: A Star Wars Story,ios,fi,tvod,19,19
2018-10-01,The Blacklist,ios,dk,svod,19,20
2018-10-01,Futurama,androiddash,fi,svod,19,24
2018-10-01,PAW Patrol,chromecast,no,svod,19,21
2018-10-01,Glee,ios,se,svod,19,22
2018-10-01,Poketto Monsutā,atv,se,svod,19,25
2018-10-01,Vikings,ios,dk,svod,19,22
2018-10-01,Deadpool 2,lg2015xdk,no,tvod,19,19
2018-10-01,PAW Patrol,samsung2017xdk,se,svod,19,25
2018-10-01,Vikings,atv,se,svod,19,19
2018-10-01,Luksusfellen,atv,no,svod,19,20
2018-10-01,Family Guy,ios,no,svod,19,32
2018-10-01,Dora the Explorer,chromecast,se,svod,19,38
2018-10-01,"Nicky, Ricky, Dicky & Dawn",ios,no,svod,19,23
2018-10-01,S.W.A.T.,atv,no,svod,19,20
2018-10-01,Blaze and the Monster Machines,ios,no,svod,19,22
2018-10-01,Scrubs,androiddash,fi,svod,19,23
2018-10-01,Frozen,androiddash,se,est,19,19
2018-10-01,Teenage Mutant Ninja Turtles,ios,se,svod,19,22
2018-10-01,Blindspot,chromecast,se,svod,19,24
2018-10-01,NHL Live,ps4xdk,fi,svod,19,19
2018-10-01,The Thundermans,pcdash,se,svod,19,26
2018-10-01,Vikings,atv,dk,svod,19,20
2018-10-01,Peppa Pig,samsung2015xdk,dk,svod,19,37
2018-10-01,Gossip Girl,ios,dk,svod,19,22
2018-10-01,The Haunted Hathaways,ios,dk,svod,19,23
2018-10-01,Dora the Explorer,ios,se,svod,19,25
2018-10-01,Deadpool 2,samsung2012xdk,no,tvod,19,19
2018-10-01,Avengers: Infinity War,androiddash,se,tvod,19,19
2018-10-01,Scrubs,ps4xdk,se,svod,18,20
2018-10-01,Jessie,ios,dk,svod,18,21
2018-10-01,Deadpool 2,ps3xdk,no,tvod,18,18
2018-10-01,Seinfeld,ios,dk,svod,18,20
2018-10-01,Flaskepost fra P,ios,dk,tvod,18,18
2018-10-01,Fireman Sam,chromecast,dk,svod,18,40
2018-10-01,Barncancergalan - Det svenska humorpriset 2018,ios,se,svod,18,18
2018-10-01,Solo: A Star Wars Story,androiddash,no,tvod,18,18
2018-10-01,American Dad,chromecast,dk,svod,18,30
2018-10-01,Glee,pcdash,dk,svod,18,20
2018-10-01,Deadpool 2,lg2016xdk,no,tvod,18,18
2018-10-01,Utøya 22. juli,ios,dk,tvod,18,18
2018-10-01,Blaze and the Monster Machines,androiddash,se,svod,18,18
2018-10-01,PAW Patrol,pcdash,se,svod,18,27
2018-10-01,Familien fra Bryggen,pchls,dk,svod,18,20
2018-10-01,Will & Grace,ios,dk,svod,18,29
2018-10-01,Familien fra Bryggen,atv,dk,svod,18,21
2018-10-01,NFL Live,pcdash,se,svod,18,19
2018-10-01,Dora the Explorer,atv,dk,svod,18,21
2018-10-01,Outlander,ios,se,svod,18,23
2018-10-01,Nashville,ios,se,svod,18,20
2018-10-01,PAW Patrol,samsung2016xdk,se,svod,18,20
2018-10-01,The Fosters,atv,dk,svod,18,19
2018-10-01,Scrubs,ios,no,svod,18,20
